YEAR,Alaska,American,Delta,Frontier,JetBlue,Southwest,Spirit,United
1990,127.6,159.8,149.9,,,129.6,,152.1
1991,127.3,160.8,152.2,,,129.1,,153.5
1992,126.4,160.2,156.2,,,129.0,119.7,154.6
1993,127.7,158.5,159.1,,,129.6,120.0,156.6
1994,130.9,153.1,158.1,107.2,,130.3,120.0,152.9
1995,131.2,152.8,160.2,109.4,,131.5,118.9,150.3
1996,131.5,152.4,161.9,115.8,,132.1,114.2,151.1
1997,131.6,151.1,162.9,120.2,,132.6,119.2,152.3
1998,132.1,150.2,162.8,121.9,,133.0,127.1,156.2
1999,132.2,149.0,163.5,126.2,,133.5,135.3,156.6
2000,130.0,143.2,163.3,130.8,163.8,133.9,152.3,152.2
2001,129.3,139.7,159.8,130.9,164.4,134.1,159.2,150.0
2002,129.2,140.0,161.3,130.2,162.2,134.3,158.3,152.3
2003,130.0,143.2,166.7,132.3,160.6,134.4,153.0,150.1
2004,130.3,151.6,163.4,126.9,156.9,135.0,152.0,151.6
2005,134.0,157.5,164.4,122.6,156.4,135.9,152.0,155.1
2006,135.4,159.4,168.1,123.1,146.2,136.0,144.3,155.3
2007,139.1,161.4,168.7,129.1,139.2,136.1,151.1,155.1
2008,139.6,161.4,170.0,131.1,136.5,136.2,147.6,156.1
2009,141.4,159.9,168.2,133.5,135.1,136.3,149.4,162.5
2010,142.3,159.8,161.9,135.8,134.1,136.3,151.4,165.2
2011,143.3,160.8,164.3,140.4,133.7,136.4,154.9,164.8
2012,143.0,160.9,165.7,143.1,132.5,137.9,158.5,162.9
2013,145.1,156.2,165.5,146.0,131.4,142.9,160.4,163.3
2014,150.0,156.6,163.5,149.8,132.0,144.8,163.5,165.4
2015,154.5,159.6,160.2,156.8,133.3,145.9,167.6,167.7
2016,158.5,161.1,160.0,173.7,135.5,147.3,175.1,170.0
2017,159.8,163.0,161.2,183.7,137.7,149.0,178.9,172.5
2018,157.4,163.5,163.1,189.1,139.5,150.7,182.5,172.3
2019,156.1,165.4,165.0,192.1,141.5,150.9,183.9,174.3
2020,156.1,163.9,163.6,191.2,150.5,153.2,188.2,168.6
2021,160.2,171.6,170.8,193.1,150.8,155.2,186.5,170.5
2022,162.1,172.6,168.3,193.3,150.2,155.5,183.9,173.4
2023,165.4,173.5,169.9,198.8,151.4,158.6,185.2,176.1
2024,164.8,173.7,171.4,204.5,154.5,159.4,189.7,176.1
2025,164.7,173.5,170.7,208.9,158.1,161.2,192.8,177.1
